Cruise_moc_net,Cruise,year,month,day,D_N,tow,net,ID,station,Latitude,Longitude,yrday_local,hhmm,flow,vol_filt,min_press,max_press,temp,sal,max depth,min depth,CTD used,avg. t,avg sal,avg fluor,max fluor,avg o2,avg PAR,DIC(umol/kg),TA_final(umolkg-1),Si_um/kg ,pH_corr(2),PO4_um/kg,NO2+NO3 (um/kg),uM NH4
OC473_m11_n5,OC473,2011,8,20,D,11,5,11.05,17,43.073,-47.5802,232.305475,719.884,119,602,101.6,200.2,11.6812371794872,35.4022371794872,200,100,1731,2.5759099009901,34.0972504950495,0.0477920792079208,0.0477920792079208,287.248396039604,0.000000000001,2138.71467745251,2286.55332945497,8.93905392818335,7.72838203441899,0.620527824317741,11.0339701897333,0.872069368421055
OC473_m11_n6,OC473,2011,8,20,D,11,6,11.06,17,43.0703,-47.5756,232.312731,730.333,93,459.5,50.8,101,12.6096752136752,35.3734102564103,100,50,1731,1.74144117647059,33.4500058823529,0.351319607843137,0.351319607843137,314.001431372549,0.000000000001,2119.12695443124,2278.64846348464,6.51936067837384,7.76418452320634,0.504761690489235,7.94729726257876,1.04398070175439
OC473_m11_n7,OC473,2011,8,20,D,11,7,11.07,17,43.0678,-47.5723,232.31816,738.15,72,373,26,51.1,9.10686734693877,33.9651224489796,50,25,1731,4.11494230769231,32.7768192307692,3.28755,3.28755,331.453076923077,0.000000000001,2063.32206946923,2228.49739198368,3.76371443999299,7.79706389090578,0.242782773013297,2.57872718324338,1.31886754385965
OC473_m11_n8,OC473,2011,8,20,D,11,8,11.08,17,43.0658,-47.5696,232.32272,744.717,93,524.4,-1.3,26.2,16.7849361702128,32.8536808510638,25,0,1731,12.21505,32.2513863636364,0.980945454545454,0.980945454545454,283.961363636364,0.000000000001,1989.98470774309,2202.48531303068,1.47025766536908,7.90847757837705,0.0870117148583363,0,1.19888947368421
OC473_m11_n9,OC473,2011,8,20,D,11,9,11.09,17,43.0635,-47.5673,232.329271,754.15,4,31,-0.8,0.3,19.9511666666667,32.5355,0,0,1731,26.1694,36.2337,0.0617,0.0617,196.714,0.000000000001,1956.58940010398,2183.62421406537,1.32176701935341,7.93191967425832,0.120309115046593,0,0.95804210526316
OC473_m12_n0,OC473,2011,8,21,N,12,0,12,21,44.9322,-41.9958,233.877211,2103.184,276,2054.2,12,1007.4,9.98204858757063,35.2614666666666,1000,0,2136,9.70272758274826,35.2643394182547,0.0793313941825476,0.0793313941825476,204.172519558676,0.000000000001,2128.73479540444,2336.55750486149,6.98878110262571,7.84412307053286,0.45484712000277,10.3113105727477,0
OC473_m12_n1,OC473,2011,8,21,N,12,1,12.01,21,44.9051,-41.9655,233.918322,2202.384,219,1214.9,799.9,1000.8,5.2535701754386,34.9656900584796,1000,800,2136,5.07039701492537,34.9893825870647,0.0194825870646766,0.0194825870646766,237.763810945274,0.000000000001,2165.79809100512,2312.71880174393,12.1427649904104,7.71134347076304,0.797703416067969,16.840182548694,0
OC473_m12_n2,OC473,2011,8,21,N,12,2,12.02,21,44.8964,-41.9557,233.934213,2225.267,209,1109.4,601.2,798.6,6.75478289473684,35.0195592105263,800,600,2136,6.288692039801,35.0333179104478,0.01998407960199,0.01998407960199,203.000084577114,0.000000000001,2177.99497676049,2313.38340175292,13.3540866827335,7.69817272167593,0.932111813638357,18.5505819572105,0
OC473_m12_n3,OC473,2011,8,21,N,12,3,12.03,21,44.8877,-41.9471,233.948345,2245.617,200,1098.9,401.1,600,8.83345695364238,35.0362913907285,600,400,2136,8.72072587064677,35.1207676616915,0.0219791044776119,0.0219791044776119,175.921651741294,0.000000000001,2168.0922595027,2316.03782926508,11.6472623583662,7.72367130486973,0.848085021545394,17.3686989821182,0
OC473_m12_n4,OC473,2011,8,21,N,12,4,12.04,21,44.8785,-41.9389,233.962373,2305.817,240,1330.2,202.4,399.8,12.8890449438202,35.5792837078652,400,200,2136,12.4862064676617,35.5497139303483,0.017671144278607,0.017671144278607,191.711373134328,0.000000000001,2142.03022095646,2343.95264700414,6.67349014526745,7.83767777485503,0.459287791709531,11.0415910025098,0
OC473_m12_n5,OC473,2011,8,21,N,12,5,12.05,21,44.8677,-41.9308,233.978912,2329.633,99,586.2,102.7,202.5,14.6660440251572,35.8692578616352,200,100,2136,14.2625099009901,35.8064069306931,0.0922940594059406,0.0922940594059406,205.969366336634,0.000000000001,2128.5510941078,2357.54444065752,4.81293727022038,7.89227176973489,0.219384217863105,7.85300296641161,0
OC473_m12_n6,OC473,2011,8,21,N,12,6,12.06,21,44.8629,-41.9273,233.986296,2340.266,64,391.4,51.1,102.4,16.0879814814815,36.0126574074074,100,50,2136,16.0784450980392,35.9840274509804,0.724388235294118,0.724388235294118,209.266882352941,0.000000000001,2116.69028787181,2366.37374698076,3.07681034344966,7.92851655386607,0.135512940460724,4.63672998776726,0
OC473_m12_n7,OC473,2011,8,21,N,12,7,12.07,21,44.8595,-41.9249,233.991319,2347.499,38,243.3,24.6,49.9,18.9804202898551,35.8884347826087,50,25,2136,18.0296769230769,35.1416615384615,0.557153846153846,0.557153846153846,244.784192307692,0.000000000001,2054.00596629654,2336.65058855466,2.28469852860282,7.99522024396775,0.113959714435832,0.735954697565662,0
OC473_m12_n8,OC473,2011,8,21,N,12,8,12.08,21,44.8574,-41.9234,233.994525,2352.116,46,287.3,0.4,24.5,22.3612125,34.79045,25,0,2136,22.2244045454545,34.5932454545455,0.184740909090909,0.184740909090909,212.745818181818,0.000000000001,2011.41141729658,2310.5191507291,2.15099845396644,8.03246375061696,0.112230968210067,0.495143739294913,0
